#sec,nsec,x,y,z,qx,qy,qz,qw
1583840211,639890432,-3.31177,8.14846,0.147892,0.0037448,0.00190268,-0.630726,0.775994
1583840211,739936000,-3.31024,8.14646,0.146934,0.00379692,0.00184344,-0.630716,0.776002
1583840211,839983872,-3.31019,8.13845,0.146375,0.00374115,0.00195485,-0.630652,0.776054
1583840211,940024832,-3.30922,8.13734,0.146893,0.0037973,0.00185615,-0.630655,0.776052
1583840212,40064512,-3.31217,8.13089,0.144368,0.00375222,0.00179249,-0.630623,0.776078
1583840212,140090880,-3.30868,8.13923,0.144377,0.00380869,0.00181444,-0.630677,0.776034
1583840212,240119296,-3.30582,8.13713,0.138151,0.00412748,0.00147893,-0.630572,0.776119
1583840212,340144640,-3.30693,8.13778,0.138494,0.00363895,0.00163276,-0.630619,0.776082
1583840212,440174336,-3.31079,8.1416,0.139922,0.00391325,0.00167922,-0.630584,0.776109
1583840212,540210944,-3.31068,8.14263,0.143244,0.0040235,0.00167414,-0.630552,0.776135
1583840212,640193792,-3.31406,8.13924,0.142286,0.00366459,0.00186396,-0.630614,0.776085
1583840212,740183808,-3.31293,8.13989,0.143935,0.00376933,0.00184282,-0.630648,0.776058
1583840212,840174592,-3.31523,8.13936,0.140589,0.00388078,0.00160125,-0.630671,0.776039
1583840212,940175616,-3.31779,8.13405,0.139593,0.00368652,0.00175025,-0.630672,0.776039
1583840213,40165632,-3.31911,8.12705,0.138544,0.00345394,0.00181107,-0.630574,0.776119
1583840213,140160512,-3.31649,8.13699,0.140341,0.00346539,0.00188107,-0.630697,0.776019
1583840213,240158720,-3.31571,8.1368,0.139436,0.00374652,0.00179256,-0.630603,0.776094
1583840213,340154368,-3.31018,8.13206,0.136769,0.00384047,0.00161903,-0.63062,0.77608
1583840213,440144640,-3.30517,8.13888,0.142723,0.00394359,0.00165979,-0.630699,0.776015
1583840213,540131840,-3.30563,8.1396,0.14278,0.00367815,0.0018619,-0.63069,0.776024
1583840213,640127744,-3.30564,8.13273,0.137229,0.00383278,0.00157995,-0.630652,0.776055
1583840213,740107520,-3.3078,8.14113,0.148717,0.0039375,0.00181742,-0.630642,0.776062
1583840213,840090880,-3.30011,8.13852,0.145754,0.00395459,0.00174265,-0.630697,0.776018
1583840213,940065024,-3.3088,8.13619,0.146149,0.00386504,0.00174386,-0.630834,0.775906
1583840214,40043776,-3.31643,8.12746,0.141831,0.0035378,0.00181708,-0.63053,0.776155
1583840214,140025600,-3.3136,8.12697,0.13726,0.00370148,0.0016446,-0.630571,0.776121
1583840214,240007424,-3.30712,8.13913,0.139854,0.00369,0.00160924,-0.630664,0.776046
1583840214,339985920,-3.31257,8.13988,0.144165,0.00372667,0.00181122,-0.630682,0.77603
1583840214,439960832,-3.31294,8.14109,0.145377,0.00387072,0.00190798,-0.630634,0.776068
1583840214,539939072,-3.31886,8.14025,0.142744,0.00364922,0.00186699,-0.630563,0.776127
1583840214,639913472,-3.31943,8.13039,0.149076,0.00369363,0.00195971,-0.630445,0.776222
1583840214,739892224,-3.31091,8.14057,0.145843,0.00378263,0.00188883,-0.630669,0.77604
1583840214,839868160,-3.30901,8.13985,0.141971,0.00325803,0.00196561,-0.630733,0.77599
1583840214,939840000,-3.31006,8.13446,0.138766,0.00371249,0.00166466,-0.630636,0.776068
1583840215,39812608,-3.30914,8.13541,0.142626,0.00379174,0.00172068,-0.630703,0.776013
1583840215,139789824,-3.31949,8.13502,0.141933,0.00357535,0.00184986,-0.630753,0.775973
1583840215,239768576,-3.31528,8.13595,0.14399,0.00338947,0.00195032,-0.6307,0.776017
1583840215,339745536,-3.31888,8.13464,0.141602,0.0036238,0.00190744,-0.630615,0.776085
1583840215,439732736,-3.3129,8.13014,0.140329,0.0038095,0.0016756,-0.630636,0.776068
1583840215,539706624,-3.31377,8.12978,0.14053,0.00343311,0.0017889,-0.630599,0.776099
1583840215,639686144,-3.31296,8.13453,0.145485,0.00392575,0.00183655,-0.630592,0.776103
1583840215,739668224,-3.31428,8.131,0.14171,0.00374948,0.00171725,-0.630535,0.776149
1583840215,839648512,-3.31224,8.13547,0.144415,0.00353867,0.0019057,-0.630662,0.776047
1583840215,939636480,-3.30776,8.13258,0.136584,0.00387528,0.00153706,-0.630703,0.776013
1583840216,39628800,-3.31318,8.12708,0.142223,0.0036401,0.0017713,-0.630606,0.776092
1583840216,139622656,-3.31427,8.12626,0.137511,0.00359453,0.00172292,-0.630604,0.776095
1583840216,239604224,-3.31703,8.12783,0.138875,0.00351968,0.00178779,-0.630622,0.77608
1583840216,339588352,-3.31152,8.135,0.143731,0.00383933,0.00182277,-0.630517,0.776164
1583840216,439555072,-3.30921,8.13257,0.14585,0.00384332,0.00189232,-0.630578,0.776114
1583840216,539521792,-3.31592,8.13676,0.147361,0.00386559,0.00190825,-0.630551,0.776135
1583840216,639485696,-3.31377,8.13701,0.148106,0.00360154,0.00208277,-0.630719,0.776
1583840216,739461376,-3.30558,8.14209,0.147561,0.00369074,0.00190198,-0.630769,0.77596
1583840216,839443968,-3.30702,8.14234,0.14467,0.00356133,0.00196557,-0.630825,0.775915
1583840216,939435264,-3.31456,8.13263,0.137275,0.00396629,0.00150913,-0.630623,0.776078
1583840217,39443200,-3.30918,8.13665,0.138635,0.00356029,0.0017831,-0.630702,0.776015
1583840217,139456256,-3.31321,8.1326,0.138827,0.00410728,0.00157807,-0.630534,0.776149
1583840217,239478016,-3.31172,8.1385,0.144532,0.00364311,0.00193765,-0.630686,0.776027
1583840217,339491584,-3.31585,8.13593,0.145843,0.00360933,0.00192082,-0.630587,0.776108
1583840217,439488512,-3.31577,8.13528,0.147534,0.00361262,0.00190032,-0.630693,0.776022
1583840217,539464704,-3.32052,8.1363,0.148924,0.00354888,0.00201748,-0.630609,0.77609
1583840217,639485440,-3.31206,8.14568,0.142575,0.00363237,0.00193364,-0.630698,0.776018
1583840217,739505408,-3.3103,8.13939,0.139111,0.00379163,0.00162256,-0.630739,0.775984
1583840217,839521792,-3.31147,8.13678,0.138592,0.00387643,0.00163851,-0.630602,0.776095
1583840217,939543808,-3.31272,8.14425,0.144942,0.00376495,0.0017264,-0.630579,0.776114
1583840218,39575552,-3.30821,8.1464,0.146374,0.00370367,0.00195359,-0.630675,0.776036
1583840218,139628032,-3.3062,8.14501,0.139419,0.00355261,0.00170355,-0.630743,0.775982
1583840218,239681024,-3.30654,8.13892,0.141523,0.00401187,0.00158134,-0.630609,0.776088
1583840218,339728896,-3.30653,8.14096,0.140433,0.00373402,0.00174732,-0.630697,0.776019
1583840218,439769600,-3.31125,8.14066,0.142156,0.00354625,0.00187746,-0.630746,0.775979
